title,url,image,format,year,price,author,rating,publisher,length,ISBN,city/country,categories,quantity
If We Were Villains,https://www.bookdepository.com/If-We-Were-Villains-M-L-Rio/9781785656477,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7856/9781785656477.jpg,Paperback,2017,16.8,M. L. Rio,4.16,Titan Books Ltd,400,9781785656477,"London, United Kingdom",Crime,30
The Love Hypothesis,https://www.bookdepository.com/Love-Hypothesis-Ali-Hazelwood/9781408725764,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4087/9781408725764.jpg,Paperback,2021,19.22,Ali Hazelwood,4.47,"Little, Brown Book Group",384,9781408725764,"London, United Kingdom",Romance,4
The Song of Achilles,https://www.bookdepository.com/Song-Achilles-Madeline-Miller/9780062060624,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0620/9780062060624.jpg,Paperback,2012,24.06,Madeline Miller,4.41,Ecco Press,416,9780062060624,,Contemporary Fiction,22
"Solo Leveling, Vol. 1 (manga)",https://www.bookdepository.com/Solo-Leveling-Vol-1-manga-Chugong/9781975319434,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9753/9781975319434.jpg,Paperback,2021,28.81,Chugong,4.54,Yen Pr,192,9781975319434,"New York, United States",Fantasy,35
The Couple at No 9,https://www.bookdepository.com/Couple-at-No-9-Claire-Douglas/9781405943406,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4059/9781405943406.jpg,Paperback,2021,15.79,Claire Douglas,4.3,Penguin Books Ltd,432,9781405943406,"London, United Kingdom",Contemporary Fiction,43
The Psychology of Money,https://www.bookdepository.com/Psychology-Money-Morgan-Housel/9780857197689,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/8571/9780857197689.jpg,Paperback,2020,22.91,Morgan Housel,4.39,Harriman House Publishing,256,9780857197689,"Petersfield, United Kingdom",Investment & Securities,13
Taste,https://www.bookdepository.com/Taste-Stanley-Tucci/9780241500996,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2415/9780241500996.jpg,Hardback,2021,32.71,Stanley Tucci,4.42,Penguin Books Ltd,320,9780241500996,"London, United Kingdom",Memoirs,46
When the Body Says No,https://www.bookdepository.com/When-Body-Says-No-Dr-Gabor-Mate/9781785042225,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7850/9781785042225.jpg,Paperback,2019,18.49,Dr Gabor Mate,4.33,Ebury Publishing,320,9781785042225,"London, United Kingdom",Mental Health Services,24
The Power of Now,https://www.bookdepository.com/Power-Now-Eckhart-Tolle/9780340733509,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3407/9780340733509.jpg,Paperback,2016,14.98,Eckhart Tolle,4.13,Hodder & Stoughton,224,9780340733509,"London, United Kingdom",Coping With Stress,1
One Of Us Is Lying,https://www.bookdepository.com/One-Us-Is-Lying-Karen-M-McManus/9780141375632,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1413/9780141375632.jpg,Paperback,2017,15.4,Karen M. McManus,4.04,Penguin Random House Children's UK,368,9780141375632,"London, United Kingdom",Thriller Books for Children,14
Confess,https://www.bookdepository.com/Confess-Colleen-Hoover/9781471148590,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4711/9781471148590.jpg,Paperback,2015,16.55,Colleen Hoover,4.21,Simon & Schuster Ltd,320,9781471148590,"London, United Kingdom",Romance,28
Have You Filled A Bucket Today?,https://www.bookdepository.com/Have-You-Filled-Bucket-Today-Carol-McCloud/9780996099936,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/9960/9780996099936.jpg,Paperback,2015,17.32,Carol McCloud,4.4,Bucket Fillosophy,32,9780996099936,"MI, United States",Picture Books,23
Sapiens,https://www.bookdepository.com/Sapiens-Yuval-Noah-Harari/9780099590088,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0995/9780099590088.jpg,Paperback,2015,22.16,Yuval Noah Harari,4.39,Vintage Publishing,512,9780099590088,"London, United Kingdom",General & World History,37
Love and Other Words,https://www.bookdepository.com/Love-Other-Words-Christina-Lauren/9781501128011,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5011/9781501128011.jpg,Paperback,2018,24.33,Christina Lauren,4.26,Simon & Schuster,432,9781501128011,"New York, United States",Contemporary Fiction,38
Christmas Street,https://www.bookdepository.com/Christmas-Street-Jonathan-Emmett/9781839943126,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8399/9781839943126.jpg,Board book,2021,26.26,Jonathan Emmett,4,Nosy Crow Ltd,13,9781839943126,"London, United Kingdom",Picture Books,5
God Emperor Of Dune,https://www.bookdepository.com/God-Emperor-Dune-Frank-Herbert/9781473233805,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4732/9781473233805.jpg,Paperback,2021,18.75,Frank Herbert,3.87,Orion Publishing Co,432,9781473233805,"London, United Kingdom",Science Fiction,41
"Red, White & Royal Blue",https://www.bookdepository.com/Red-White-Royal-Blue-Casey-McQuiston/9781250316776,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/2503/9781250316776.jpg,Paperback,2019,25.02,Casey McQuiston,4.23,St Martin's Press,432,9781250316776,"New York, United States",Adult & Contemporary Romance,10
Red Lines,https://www.bookdepository.com/Red-Lines-Cherian-George/9780262543019,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2625/9780262543019.jpg,Paperback,2021,49.55,Cherian George,4,MIT Press Ltd,440,9780262543019,United States,Art Books,29
Brain Games For Clever Kids (R),https://www.bookdepository.com/Brain-Games-For-Clever-Kids-R-Gareth-Moore/9781780552491,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7805/9781780552491.jpg,Paperback,2014,12.27,Gareth Moore,4.25,Michael O'Mara Books Ltd,192,9781780552491,"London, United Kingdom",Handicrafts,1
A Little Life,https://www.bookdepository.com/Little-Life-Hanya-Yanagihara/9781447294832,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4472/9781447294832.jpg,Paperback,2017,20.17,Hanya Yanagihara,4.3,Pan Macmillan,736,9781447294832,"London, United Kingdom",Contemporary Fiction,40
Living the Chateau Dream,https://www.bookdepository.com/Living-Chateau-Dream-Angel-Strawbridge/9781841885353,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8418/9781841885353.jpg,Hardback,2021,29.1,Angel Strawbridge,4.67,Orion Publishing Co,336,9781841885353,"London, United Kingdom",Autobiography: Arts & Entertainment,7
The Jolly Christmas Postman,https://www.bookdepository.com/Jolly-Christmas-Postman-Allan-Ahlberg/9780141340111,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1413/9780141340111.jpg,Hardback,2014,24.17,Allan Ahlberg,4.49,Penguin Random House Children's UK,52,9780141340111,"London, United Kingdom",Contemporary Fiction,13
"Thinking, Fast and Slow",https://www.bookdepository.com/Thinking-Fast-Slow-Daniel-Kahneman/9780141033570,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1410/9780141033570.jpg,Paperback,2012,22.47,Daniel Kahneman,4.16,Penguin Books Ltd,512,9780141033570,"London, United Kingdom",Psychology,29
"The Boy, The Mole, The Fox and The Horse",https://www.bookdepository.com/Boy-Mole-Fox-Horse-Charlie-Mackesy/9781529105100,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5291/9781529105100.jpg,Hardback,2019,30.15,Charlie Mackesy,4.59,Ebury Publishing,128,9781529105100,"London, United Kingdom","Graphic Novels, Anime & Manga",2
The Cruel Prince (The Folk of the Air),https://www.bookdepository.com/Cruel-Prince-Folk-Air-Holly-Black/9781471407277,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4714/9781471407277.jpg,Paperback,2018,14.89,Holly Black,4.09,Hot Key Books,400,9781471407277,"London, United Kingdom",Children's General Story Books,23
The Lyrics,https://www.bookdepository.com/Lyrics-Paul-McCartney/9780241519332,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2415/9780241519332.jpg,Hardback,2021,133.82,Paul McCartney,4.12,Penguin Books Ltd,912,9780241519332,"London, United Kingdom",Rock & Pop Music,43
Animal Farm,https://www.bookdepository.com/Animal-Farm-George-Orwell/9780141036137,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1410/9780141036137.jpg,Paperback,2008,14.25,George Orwell,3.97,Penguin Books Ltd,112,9780141036137,"London, United Kingdom",Contemporary Fiction,40
"Toilet-bound Hanako-kun, Vol. 2",https://www.bookdepository.com/Toilet-bound-Hanako-kun-Vol-2-AidaIro/9781975399573,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9753/9781975399573.jpg,Paperback,2020,19.46,AidaIro,4.56,"Little, Brown & Company",192,9781975399573,"New York, United States",Fantasy,39
Eating Plant-Based,https://www.bookdepository.com/Eating-Plant-Based-Shireen-Kassam/9781781611944,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7816/9781781611944.jpg,Paperback,2022,35.87,Shireen Kassam,4.32,Hammersmith Health Books,240,9781781611944,"London, United Kingdom",Popular Medicine & Health,22
The Fine Print Special Edition,https://www.bookdepository.com/Fine-Print-Special-Edition-Lauren-Asher/9781737507710,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7375/9781737507710.jpg,Paperback,2021,24.94,Lauren Asher,4.11,Lauren Asher,448,9781737507710,,Romance,32
